X, м	Y, м	В, Тл
-0,02	-0,025	0,17185
-0,02	-0,015	0,1735
-0,02	-0,005	0,173366667
-0,02	0,005	0,17325
-0,02	0,015	0,17315
-0,02	0,025	0,1719
-0,02	0,035	0,17065
-0,02	0,045	0,15555
-0,02	0,055	0,14025
-0,02	0,065	0,1035
-0,02	0,075	0,06755
-0,02	0,085	0,0475
-0,02	0,095	0,028
-0,02	0,105	0,0195
-0,02	0,115	0,01075
-0,01	-0,135	0,00406
-0,01	-0,125	0,00663
-0,01	-0,115	0,0092
-0,01	-0,105	0,0163
-0,01	-0,095	0,0234
-0,01	-0,085	0,0412
-0,01	-0,075	0,059
-0,01	-0,065	0,0937
-0,01	-0,055	0,1284
-0,01	-0,045	0,14935
-0,01	-0,035	0,1703
-0,01	-0,025	0,17195
-0,01	-0,015	0,1736
-0,01	-0,005	0,173466667
-0,01	0,005	0,173333333
-0,01	0,015	0,1732
-0,01	0,025	0,17195
-0,01	0,035	0,1707
-0,01	0,045	0,1556
-0,01	0,055	0,1405
-0,01	0,065	0,10455
-0,01	0,075	0,0686
-0,01	0,085	0,04855
-0,01	0,095	0,0285
-0,01	0,105	0,01975
-0,01	0,115	0,011
0	-0,135	0,00404
0	-0,125	0,00661
0	-0,115	0,00915
0	-0,105	0,01615
0	-0,095	0,02325
0	-0,085	0,04105
0	-0,075	0,0588
0	-0,065	0,0935
0	-0,055	0,1282
0	-0,045	0,14915
0	-0,035	0,17025
0	-0,025	0,17195
0	-0,015	0,1736
0	-0,005	0,173466667
0	0,005	0,173333333
0	0,015	0,1732
0	0,025	0,172
0	0,035	0,17075
0	0,045	0,15575
0	0,055	0,14065
0	0,065	0,1047
0	0,075	0,06865
0	0,085	0,0486
0	0,095	0,02855
0	0,105	0,0198
0	0,115	0,01095
0,01	-0,135	0,00402
0,01	-0,125	0,006575
0,01	-0,115	0,0091
0,01	-0,105	0,0161
0,01	-0,095	0,0231
0,01	-0,085	0,04085
0,01	-0,075	0,0586
0,01	-0,065	0,0933
0,01	-0,055	0,128
0,01	-0,045	0,1491
0,01	-0,035	0,1702
0,01	-0,025	0,1719
0,01	-0,015	0,1736
0,01	-0,005	0,173466667
0,01	0,005	0,173333333
0,01	0,015	0,1732
0,01	0,025	0,172
0,01	0,035	0,1708
0,01	0,045	0,1558
0,01	0,055	0,1408
0,01	0,065	0,10475
0,01	0,075	0,0687
0,01	0,085	0,04865
0,01	0,095	0,0286
0,01	0,105	0,01975
0,01	0,115	0,0109
0,02	-0,135	0,004
0,02	-0,125	0,0064
0,02	-0,115	0,0088
0,02	-0,105	0,01575
0,02	-0,095	0,02275
0,02	-0,085	0,0405
0,02	-0,075	0,05805
0,02	-0,065	0,09275
0,02	-0,055	0,12745
0,02	-0,045	0,14895
0,02	-0,035	0,17005
0,02	-0,025	0,17175
0,02	-0,015	0,1735
0,02	-0,005	0,173366667
0,02	0,005	0,173266667
0,02	0,015	0,1732
0,02	0,025	0,172
0,02	0,035	0,1708
0,02	0,045	0,15605
0,02	0,055	0,14105
0,02	0,065	0,105
0,02	0,075	0,0682
0,02	0,085	0,04815
0,02	0,095	0,0283
0,02	0,105	0,01945
0,02	0,115	0,0106
0,03	-0,135	0,0038
0,03	-0,125	0,00615
0,03	-0,115	0,0085
0,03	-0,105	0,01545
0,03	-0,095	0,0224
0,03	-0,085	0,03995
0,03	-0,075	0,0575
0,03	-0,065	0,0922
0,03	-0,055	0,1269
0,03	-0,045	0,1484
0,03	-0,035	0,1699
0,03	-0,025	0,17165
0,03	-0,015	0,1734
0,03	-0,005	0,173333333
0,03	0,005	0,173266667
0,03	0,015	0,1732
0,03	0,025	0,172
0,03	0,035	0,1708
0,03	0,045	0,15605
0,03	0,055	0,1413
0,03	0,065	0,1045
0,03	0,075	0,0677
0,03	0,085	0,04785
0,03	0,095	0,028
0,03	0,105	0,01915
0,03	0,115	0,0103
0,04	-0,135	0,0036
0,04	-0,125	0,00595
0,04	-0,115	0,00805
0,04	-0,105	0,015
0,04	-0,095	0,0214
0,04	-0,085	0,0384
0,04	-0,075	0,05595
0,04	-0,065	0,09055
0,04	-0,055	0,12525
0,04	-0,045	0,14765
0,04	-0,035	0,16915
0,04	-0,025	0,1709
0,04	-0,015	0,17255
0,04	-0,005	0,172483333
0,04	0,005	0,172416667
0,04	0,015	0,17235
0,04	0,025	0,17115
0,04	0,035	0,16975
0,04	0,045	0,155
0,04	0,055	0,14025
0,04	0,065	0,10315
0,04	0,075	0,06635
0,04	0,085	0,0469
0,04	0,095	0,02705
0,04	0,105	0,0182
0,04	0,115	0,0098
0,05	-0,135	0,0034
0,05	-0,125	0,0055
0,05	-0,115	0,0076
0,05	-0,105	0,014
0,05	-0,095	0,0204
0,05	-0,085	0,0374
0,05	-0,075	0,0544
0,05	-0,065	0,089
0,05	-0,055	0,1236
0,05	-0,045	0,146
0,05	-0,035	0,1684
0,05	-0,025	0,17005
0,05	-0,015	0,1717
0,05	-0,005	0,171633333
0,05	0,005	0,171566667
0,05	0,015	0,1715
0,05	0,025	0,1701
0,05	0,035	0,1687
0,05	0,045	0,15395
0,05	0,055	0,1392
0,05	0,065	0,1021
0,05	0,075	0,065
0,05	0,085	0,04555
0,05	0,095	0,0261
0,05	0,105	0,0177
0,05	0,115	0,0093
0,06	-0,135	0,00305
0,06	-0,125	0,00475
0,06	-0,115	0,00685
0,06	-0,105	0,01325
0,06	-0,095	0,01845
0,06	-0,085	0,03255
0,06	-0,075	0,04955
0,06	-0,065	0,07755
0,06	-0,055	0,11215
0,06	-0,045	0,13455
0,06	-0,035	0,15615
0,06	-0,025	0,1567
0,06	-0,015	0,15835
0,06	-0,005	0,158416667
0,06	0,005	0,158416667
0,06	0,015	0,15835
0,06	0,025	0,15695
0,06	0,035	0,15325
0,06	0,045	0,1385
0,06	0,055	0,12685
0,06	0,065	0,08975
0,06	0,075	0,0594
0,06	0,085	0,04315
0,06	0,095	0,0237
0,06	0,105	0,0153
0,06	0,115	0,00835
0,07	-0,135	0,0027
0,07	-0,125	0,0044
0,07	-0,115	0,0061
0,07	-0,105	0,0113
0,07	-0,095	0,0165
0,07	-0,085	0,0306
0,07	-0,075	0,0447
0,07	-0,065	0,0727
0,07	-0,055	0,1007
0,07	-0,045	0,1223
0,07	-0,035	0,1439
0,07	-0,025	0,14445
0,07	-0,015	0,145
0,07	-0,005	0,145066667
0,07	0,005	0,145133333
0,07	0,015	0,1452
0,07	0,025	0,1415
0,07	0,035	0,1378
0,07	0,045	0,12615
0,07	0,055	0,1145
0,07	0,065	0,08415
0,07	0,075	0,0538
0,07	0,085	0,03755
0,07	0,095	0,0213
0,07	0,105	0,01435
0,07	0,115	0,0074
0,08	-0,135	0,00235
0,08	-0,125	0,003725
0,08	-0,115	0,0051
0,08	-0,105	0,00935
0,08	-0,095	0,0136
0,08	-0,085	0,02505
0,08	-0,075	0,0365
0,08	-0,065	0,0554
0,08	-0,055	0,0743
0,08	-0,045	0,08825
0,08	-0,035	0,1022
0,08	-0,025	0,1057
0,08	-0,015	0,1092
0,08	-0,005	0,107733333
0,08	0,005	0,106266667
0,08	0,015	0,1048
0,08	0,025	0,1028
0,08	0,035	0,1008
0,08	0,045	0,0903
0,08	0,055	0,0798
0,08	0,065	0,0604
0,08	0,075	0,041
0,08	0,085	0,0287
0,08	0,095	0,0164
0,08	0,105	0,01135
0,08	0,115	0,0063
0,09	-0,135	0,002
0,09	-0,125	0,00305
0,09	-0,115	0,0041
0,09	-0,105	0,00725
0,09	-0,095	0,0104
0,09	-0,085	0,01855
0,09	-0,075	0,0267
0,09	-0,065	0,0381
0,09	-0,055	0,0495
0,09	-0,045	0,0594
0,09	-0,035	0,0693
0,09	-0,025	0,06905
0,09	-0,015	0,0688
0,09	-0,005	0,069266667
0,09	0,005	0,069733333
0,09	0,015	0,0702
0,09	0,025	0,06655
0,09	0,035	0,0629
0,09	0,045	0,05855
0,09	0,055	0,0542
0,09	0,065	0,04755
0,09	0,075	0,0409
0,09	0,085	0,0278
0,09	0,095	0,0147
0,09	0,105	0,01025
0,09	0,115	0,0058
0,1	-0,135	0,001633333
0,1	-0,125	0,002366667
0,1	-0,115	0,0031
0,1	-0,105	0,0053
0,1	-0,095	0,0075
0,1	-0,085	0,0128
0,1	-0,075	0,0181
0,1	-0,065	0,02475
0,1	-0,055	0,0314
0,1	-0,045	0,036
0,1	-0,035	0,0406
0,1	-0,025	0,0402
0,1	-0,015	0,0398
0,1	-0,005	0,041266667
0,1	0,005	0,042733333
0,1	0,015	0,0442
0,1	0,025	0,04055
0,1	0,035	0,03885
0,1	0,045	0,0467
0,1	0,055	0,04235
0,1	0,065	0,03285
0,1	0,075	0,0262
0,1	0,085	0,0131
0,1	0,095	0,00865
0,1	0,105	0,00705
0,1	0,115	0
0,11	-0,135	0,001266667
0,11	-0,125	0,002
0,11	-0,115	0,0023
0,11	-0,105	0,00365
0,11	-0,095	0,005
0,11	-0,085	0,00785
0,11	-0,075	0,0107
0,11	-0,065	0,01315
0,11	-0,055	0,0156
0,11	-0,045	0,01705
0,11	-0,035	0,0185
0,11	-0,025	0,01785
0,11	-0,015	0,0172
0,11	-0,005	0,017533333
0,11	0,005	0,017866667
0,11	0,015	0,0182
0,11	0,025	0,0165
0,11	0,035	0,0148
0,11	0,045	0,02265
0,11	0,055	0,0305
0,11	0,065	0,021
0,11	0,075	0,0115
0,11	0,085	0
0,11	0,095	0
0,11	0,105	0
0,11	0,115	0
0,12	-0,135	0,0009
0,12	-0,125	0,001275
0,12	-0,115	0,00165
0,12	-0,105	0,003
0,12	-0,095	0,00345
0,12	-0,085	0,0039
0,12	-0,075	0,00675
0,12	-0,065	0,0092
0,12	-0,055	0,00825
0,12	-0,045	0,0097
0,12	-0,035	0,00905
0,12	-0,025	0,0129
